aalib 1.4rc5-14
acl 2.3.1-1
acpilight 1.2-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 41.0-1
alacritty 0.10.0-2
alsa-card-profiles 1:0.3.43-5
alsa-lib 1.2.6.1-1
alsa-plugins 1:1.2.6-2
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.6.3-1
alsa-utils 1.2.6-1
amd-ucode 20220119.0c6a7b3-2
aom 3.2.0-1
apache 2.4.52-1
apr 1.7.0-3
apr-util 1.6.1-9
archlinux-keyring 20220118-1
argon2 20190702-4
asciidoc 10.1.1-1
aspell 0.60.8-2
at-spi2-atk 2.38.0-1
at-spi2-core 2.42.0-1
atk 2.36.0-1
atkmm 2.28.2-2
attr 2.5.1-1
audit 3.0.6-5
autoconf 2.71-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
awesome-terminal-fonts 1.1.0-4
babl 0.1.88-2
base 2-2
bash 5.1.016-1
bash-completion 2.11-2
bat 0.18.3-1
bc 1.07.1-4
bind 9.16.25-1
binutils 2.36.1-3
bison 3.8.2-1
bitwarden 1.30.0-1
blas 3.10.0-1
blueberry 1.4.6-1
bluez 5.63-1
bluez-libs 5.63-1
bluez-tools 0.2.0-5
bluez-utils 5.63-1
boost-libs 1.78.0-1
botan 2.19.1-1
box2d 2.4.1-1
brotli 1.0.9-7
bspwm 0.9.10-1
btop 1.2.0-1
btrfs-progs 5.16-1
bubblewrap 0.5.0-1
bzip2 1.0.8-4
c-ares 1.18.1-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.74-1
ca-certificates-utils 20210603-1
cairo 1.17.4-5
cairomm 1.14.3-2
cantarell-fonts 1:0.303.1-1
ccache 4.5.1-1
cdparanoia 10.2-8
celt 0.11.3-4
cheese 41.1-1
chromaprint 1.5.1-1
chromium 97.0.4692.99-2
chrpath 0.16-3
clang 13.0.0-4
clucene 2.3.3.4-11
clutter 1.26.4-1
clutter-gst 3.0.27-3
clutter-gtk 1.8.4-2
cmake 3.22.1-5
cogl 1.22.8-1
compiler-rt 13.0.0-2
coreutils 9.0-2
cryptsetup 2.4.3-1
cups 1:2.4.0-4
cups-filters 1.28.11-1
cups-pdf 3.0.1-6
curl 7.81.0-1
dav1d 0.9.2-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.112-2
dbus-python 1.2.18-3
dconf 0.40.0-1
desktop-file-utils 0.26-1
device-mapper 2.03.14-2
dia 0.97.3-9
diffutils 3.8-1
discord 0.0.16-1
djvulibre 3.5.28-3
dmidecode 3.3-1
dmraid 1.0.0.rc16.3-13
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
dosfstools 4.2-1
double-conversion 3.2.0-1
dtc 1.6.1-3
duf 0.7.0-1
e2fsprogs 1.46.5-1
efibootmgr 17-2
efivar 38-2
electron14 14.2.4-1
elfutils 0.186-2
enchant 2.3.2-1
exiv2 0.27.5-1
exo 4.16.3-1
expat 2.4.3-1
faac 1.30-2
faad2 2.10.0-1
fakeroot 1.27-1
fd 8.3.1-1
feh 3.8-1
ffmpeg 2:4.4.1-1
fftw 3.3.10-1
file 5.41-1
filesystem 2021.12.07-1
findutils 4.8.0-1
firefox 96.0.2-1
firefox-developer-edition 97.0b7-1
flac 1.3.3-3
flameshot 0.10.2-2
flex 2.6.4-3
fluidsynth 2.2.5-1
fontconfig 2:2.13.94-2
freetype2 2.11.1-1
frei0r-plugins 1.7.0-1
fribidi 1.0.11-1
fuse-common 3.10.5-1
fuse2 2.9.9-4
fuse3 3.10.5-1
garcon 4.16.1-1
gavl 1.4.0-5
gawk 5.1.1-1
gc 8.2.0-2
gcc 11.1.0-3
gcc-libs 11.1.0-3
gcr 3.41.0-1
gd 2.3.3-3
gdbm 1.22-1
gdk-pixbuf2 2.42.6-2
gegl 0.4.34-1
gettext 0.21-1
ghc-libs 9.0.2-1
ghostscript 9.55.0-3
giflib 5.2.1-2
gimp 2.10.30-1
girara 0.3.6-1
git 2.35.0-1
github-cli 2.4.0-1
glib-networking 1:2.70.1-1
glib2 2.70.2-2
glib2-docs 2.70.2-2
glibc 2.33-5
glibmm 2.66.2-1
glu 9.0.2-2
gmp 6.2.1-1
gnome-bluetooth 3.34.5-2
gnome-desktop 1:41.3-1
gnome-video-effects 0.5.0+4+g9554041-2
gnu-free-fonts 20120503-8
gnupg 2.2.32-2
gnutls 3.7.3-1
gobject-introspection 1.70.0-5
gobject-introspection-runtime 1.70.0-5
gparted 1.3.1-1
gperftools 2.9.1-1
gpgme 1.16.0-3
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.8-1
graphene 1.10.6-1
graphite 1:1.3.14-1
graphviz 2.50.0-2
grep 3.7-1
grilo 0.3.14-1
groff 1.22.4-6
grub 2:2.06-4
gsettings-desktop-schemas 41.0-1
gsfonts 20200910-2
gsm 1.0.19-1
gssdp 1.4.0.1-1
gst-plugin-gtk 1.18.5-2
gst-plugins-bad 1.18.5-5
gst-plugins-bad-libs 1.18.5-5
gst-plugins-base 1.18.5-1
gst-plugins-base-libs 1.18.5-1
gst-plugins-good 1.18.5-2
